Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/4/27,33,2021/4/28 0:00,N,2287.442,774.68,32.35,43.64,,2.182,,
2021/4/27,34,2021/4/28 0:30,N,2292.297,769.751,28.528,40,,2,,
2021/4/27,35,2021/4/28 1:00,N,2297.179,757.603,31.02,33.33,,1.6665,,
2021/4/27,36,2021/4/28 1:30,N,2291.55,752.803,30.18,33.33,,1.6665,,
2021/4/27,37,2021/4/28 2:00,N,2279.25,751.501,30.2,33.33,,1.6665,,
2021/4/27,38,2021/4/28 2:30,N,2280.693,750.971,30.17,33.33,,1.6665,,
2021/4/27,39,2021/4/28 3:00,N,2285.912,749.141,30.23,33.33,,1.6665,,
2021/4/27,40,2021/4/28 3:30,N,2278.946,749.57,30.23,33.33,,1.6665,,
2021/4/27,41,2021/4/28 4:00,N,2276.486,751.571,30.33,33.33,,1.6665,,
2021/4/27,42,2021/4/28 4:30,N,2304.271,754.667,30.52,33.33,,1.6665,,
2021/4/27,43,2021/4/28 5:00,N,2315.769,788.06,34.175,45.32,,2.266,,
2021/4/27,44,2021/4/28 5:30,N,2314.354,807.484,25.44,52.18,,2.609,,
2021/4/27,45,2021/4/28 6:00,N,2305.93,867.99,16.364,60,,3,,
2021/4/27,46,2021/4/28 6:30,N,2300.11,917.404,21.032,60,,3,,
2021/4/27,47,2021/4/28 7:00,N,2298.536,914.24,36.096,58,,2.9,,
2021/4/27,48,2021/4/28 7:30,N,2312.266,890.236,43.859,54.97,,2.7485,,
2021/4/28,1,2021/4/28 8:00,N,2301.454,832.18,17.594,47.57,,2.3785,,
2021/4/28,2,2021/4/28 8:30,N,2289.66,789.458,39.084,33.33,,1.6665,,
2021/4/28,3,2021/4/28 9:00,N,2277.373,781.836,37.162,33.33,,1.6665,,
2021/4/28,4,2021/4/28 9:30,N,2252.683,779.694,29.384,28.75,,1.4375,,
2021/4/28,5,2021/4/28 10:00,N,2262.76,724.763,33.969,27.11,,1.3555,,
2021/4/28,6,2021/4/28 10:30,N,2248.104,686.811,33.969,27.11,,1.3555,,
2021/4/28,7,2021/4/28 11:00,N,2246.274,655.241,39.869,30,,1.5,,
2021/4/28,8,2021/4/28 11:30,N,2248.909,636.926,39.92,29.9,,1.495,,
2021/4/28,9,2021/4/28 12:00,N,2247.936,632.351,40.878,30,,1.5,,
2021/4/28,10,2021/4/28 12:30,N,2247.282,636.384,40.878,30,,1.5,,
2021/4/28,11,2021/4/28 13:00,N,2246.628,666.158,40.878,30,,1.5,,
2021/4/28,12,2021/4/28 13:30,N,2246.204,725.32,36.96,29.9,,1.495,,
2021/4/28,13,2021/4/28 14:00,N,2245.633,785.933,31.83,33.1,,1.655,,
2021/4/28,14,2021/4/28 14:30,N,2247.227,836.936,19.357,52.55,,2.6275,,
2021/4/28,15,2021/4/28 15:00,N,2265.178,880.059,19.13,53.5,,2.675,,
2021/4/28,16,2021/4/28 15:30,N,2263.721,948.639,17.594,58.78,,2.939,,
2021/4/28,17,2021/4/28 16:00,N,2257.111,1028.5,30.994,55.34,,2.767,,
2021/4/28,18,2021/4/28 16:30,N,2253.676,1105.551,23.112,55.34,,2.767,,
2021/4/28,19,2021/4/28 17:00,N,2250.923,1188.218,28.812,71.47,,3.5735,,
2021/4/28,20,2021/4/28 17:30,N,2250.863,1221.971,51.412,80.96,,4.048,,
2021/4/28,21,2021/4/28 18:00,N,2251.128,1217.602,54.512,82.26,,4.113,,
2021/4/28,22,2021/4/28 18:30,N,2251.114,1177.978,56.712,77.11,,3.8555,,
2021/4/28,23,2021/4/28 19:00,N,2251.93,1142.772,43.321,74.39,,3.7195,,
2021/4/28,24,2021/4/28 19:30,N,2253.223,1103.183,42.612,58.73,,2.9365,,
2021/4/28,25,2021/4/28 20:00,N,2255.527,1056.544,49.612,72.03,,3.6015,,
2021/4/28,26,2021/4/28 20:30,N,2258.226,995.386,19.975,65.41,,3.2705,,
2021/4/28,27,2021/4/28 21:00,N,2247.171,989.155,12.651,68.8,,3.44,,
